host,offset_micros,server,send_at,receive_at
https://google.com,31361,2026-03-21T22:59:21+00:00,2026-03-21T22:59:21.031362848+00:00,2026-03-21T22:59:21.133657294+00:00
https://google.com,34361,2026-03-21T22:59:21+00:00,2026-03-21T22:59:21.034363151+00:00,2026-03-21T22:59:21.136768153+00:00
https://google.com,40361,2026-03-21T22:59:21+00:00,2026-03-21T22:59:21.040363417+00:00,2026-03-21T22:59:21.223881543+00:00
https://google.com,43361,2026-03-21T22:59:21+00:00,2026-03-21T22:59:21.043362879+00:00,2026-03-21T22:59:21.249055598+00:00
https://google.com,45361,2026-03-21T22:59:21+00:00,2026-03-21T22:59:21.045362176+00:00,2026-03-21T22:59:21.264669191+00:00
https://google.com,-37639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.962963276+00:00,2026-03-21T22:59:22.072229390+00:00
https://google.com,-33639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.966364701+00:00,2026-03-21T22:59:22.134562930+00:00
https://google.com,-32639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.967362651+00:00,2026-03-21T22:59:22.068349169+00:00
https://google.com,-28639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.971496426+00:00,2026-03-21T22:59:22.122323676+00:00
https://google.com,-27639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.972362683+00:00,2026-03-21T22:59:22.231690277+00:00
https://google.com,-26639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.973362607+00:00,2026-03-21T22:59:22.189509253+00:00
https://google.com,-21639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.978362678+00:00,2026-03-21T22:59:22.133210048+00:00
https://google.com,-15639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.984362734+00:00,2026-03-21T22:59:22.242825+00:00
https://google.com,-13639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.986362121+00:00,2026-03-21T22:59:22.216885106+00:00
https://google.com,-12639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.987392209+00:00,2026-03-21T22:59:22.215750551+00:00
https://google.com,-9639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.990363350+00:00,2026-03-21T22:59:22.216945143+00:00
https://google.com,-7639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.992361986+00:00,2026-03-21T22:59:22.218811297+00:00
https://google.com,-3639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.996363115+00:00,2026-03-21T22:59:22.258829660+00:00
https://google.com,-2639,2026-03-21T22:59:22+00:00,2026-03-21T22:59:21.997363049+00:00,2026-03-21T22:59:22.292795256+00:00
https://google.com,21361,2026-03-21T22:59:22+00:00,2026-03-21T22:59:22.021362882+00:00,2026-03-21T22:59:22.174689506+00:00
https://google.com,46361,2026-03-21T22:59:22+00:00,2026-03-21T22:59:22.046362195+00:00,2026-03-21T22:59:22.201386925+00:00
https://google.com,-36639,2026-03-21T22:59:23+00:00,2026-03-21T22:59:22.963363005+00:00,2026-03-21T22:59:23.376543089+00:00
https://google.com,-31639,2026-03-21T22:59:23+00:00,2026-03-21T22:59:22.968363404+00:00,2026-03-21T22:59:23.077514887+00:00
https://google.com,-30639,2026-03-21T22:59:23+00:00,2026-03-21T22:59:22.969362619+00:00,2026-03-21T22:59:23.103860390+00:00
https://google.com,-25639,2026-03-21T22:59:23+00:00,2026-03-21T22:59:22.974363049+00:00,2026-03-21T22:59:23.202961879+00:00
https://google.com,-24639,2026-03-21T22:59:23+00:00,2026-03-21T22:59:22.975362724+00:00,2026-03-21T22:59:23.145802482+00:00
https://google.com,-6639,2026-03-21T22:59:23+00:00,2026-03-21T22:59:22.993362097+00:00,2026-03-21T22:59:23.224910778+00:00
https://google.com,-1639,2026-03-21T22:59:23+00:00,2026-03-21T22:59:22.998363227+00:00,2026-03-21T22:59:23.157543208+00:00
https://google.com,-639,2026-03-21T22:59:23+00:00,2026-03-21T22:59:22.999362201+00:00,2026-03-21T22:59:23.188685406+00:00
https://google.com,22361,2026-03-21T22:59:23+00:00,2026-03-21T22:59:23.022364049+00:00,2026-03-21T22:59:23.239665982+00:00
